,row_doc,col_feature,tfidf_value
516,52,6532,0.150304595649
515,52,6736,0.0647923648931
514,52,6741,0.150304595649
513,52,6742,0.150304595649
512,52,6836,0.150304595649
511,52,6837,0.150304595649
510,52,6870,0.150304595649
509,52,6871,0.150304595649
508,52,8042,0.150304595649
507,52,9477,0.101926531396
506,52,9489,0.110948072405
505,52,9491,0.150304595649
504,52,9513,0.0757492381534
503,52,9525,0.150304595649
502,52,9526,0.150304595649
501,52,9600,0.0719366678107
500,52,9601,0.150304595649
499,52,9693,0.071327958491
498,52,9741,0.150304595649
497,52,9742,0.150304595649
496,52,11149,0.150304595649
495,52,11150,0.150304595649
546,53,2135,0.573642178936
545,53,2492,0.737079041781
544,53,6228,0.357280193563
553,54,2135,0.228384011635
552,54,2445,0.271488768607
551,54,2477,0.516921763042
550,54,2478,0.524311018913
549,54,3373,0.311535432998
548,54,3387,0.377506042584
547,54,3615,0.304071208584
560,55,1523,0.322900764702
559,55,6446,0.7789147529
558,55,7799,0.257917125747
557,55,8611,0.253988105284
556,55,9600,0.243349502165
555,55,9950,0.271233845767
554,55,10160,0.158773181602
575,56,2966,0.220033816461
574,56,7041,0.43780204549
573,56,7066,0.313135117245
572,56,7094,0.313135117245
571,56,7137,0.278511358967
570,56,7381,0.13302633412
569,56,7619,0.21274459081
568,56,7899,0.224284007339
567,56,8092,0.154964584255
566,56,9433,0.22167698271
565,56,9513,0.171011139441
564,56,10708,0.198092145307
563,56,10723,0.324005722164
562,56,11017,0.18307198038
561,56,11030,0.304703220999
581,57,1003,0.245554856266
580,57,1708,0.486758558297
579,57,2611,0.390020569538
578,57,2615,0.443341315482
577,57,8400,0.472345226501
576,57,10063,0.361927256247
586,58,2112,0.488721080582
585,58,2492,0.35245321501
584,58,3659,0.441582601098
583,58,8681,0.528311201004
582,58,9950,0.403510245131
600,59,1003,0.0779269360252
599,59,1748,0.30045354353
598,59,1749,0.30045354353
597,59,1750,0.30045354353
596,59,2445,0.12951763412
595,59,2464,0.30045354353
594,59,2465,0.30045354353
593,59,5508,0.22693882462
592,59,5517,0.30045354353
591,59,5518,0.30045354353
590,59,7894,0.30045354353
589,59,7895,0.30045354353
588,59,9513,0.151420034262
587,59,9518,0.30045354353
611,60,512,0.388318563483
610,60,1003,0.109140273664
609,60,1817,0.306352000798
608,60,2111,0.355838060086
607,60,2112,0.271877176802
606,60,2445,0.362790859057
605,60,2533,0.312901170111
604,60,8225,0.377862176903
603,60,9693,0.199692752213
602,60,10160,0.13140125431
601,60,10175,0.336838183595
616,61,1884,0.567466551323
615,61,6135,0.323830550952
614,61,6155,0.560679722972
613,61,6630,0.298708256613
612,61,8022,0.411736703585
626,62,1952,0.43333595253
625,62,1954,0.43523376319
624,62,2400,0.184706706456
623,62,3859,0.183620036432
622,62,4016,0.240233649896
621,62,4657,0.530753053932
620,62,7381,0.163125099187
619,62,8009,0.226001172491
618,62,8756,0.238196548629
617,62,9348,0.284822232111
632,63,3615,0.602207024638
631,63,6446,0.318461610308
630,63,8092,0.284809768744
629,63,8221,0.357005350127
628,63,9879,0.34409490322
627,63,10796,0.457119432341
641,64,121,0.243332419447
640,64,135,0.359652431931
639,64,1575,0.538388876089
638,64,2492,0.20129486645
637,64,2493,0.359652431931
636,64,2494,0.379158526328
635,64,2704,0.224950769017
634,64,2705,0.349998576519
633,64,4374,0.186666399675
645,65,1865,0.404222507415
644,65,6135,0.474972720252
643,65,6736,0.442864350277
642,65,7644,0.644108878039
650,66,1914,0.442986093488
649,66,4961,0.499350726899
648,66,7832,0.429775472574
647,66,10281,0.504973706533
646,66,10861,0.338683881232
654,67,222,0.541246045707
653,67,2819,0.475187656918
652,67,3761,0.538147642412
651,67,10405,0.437774512376
663,68,287,0.30647743006
662,68,2445,0.219275887023
661,68,2449,0.423475211657
660,68,3856,0.343396507406
659,68,6469,0.247813711302
658,68,6470,0.390883691243
657,68,6490,0.280657548534
656,68,6701,0.287646357138
655,68,6706,0.430147035483
666,69,1003,0.309799840866
665,69,2798,0.594456037819
664,69,2799,0.742055306362
671,70,4450,0.401296990894
670,70,4593,0.681481850942
669,70,5711,0.379872778792
668,70,6576,0.378725240898
667,70,6937,0.294630405383
675,71,3795,0.628607065523
674,71,7265,0.541883009324
673,71,9879,0.48550362017
672,71,10160,0.274776629613
683,72,4828,0.289422827781
682,72,6394,0.382444367974
681,72,6397,0.207400388912
680,72,6630,0.140632336843
679,72,8984,0.612779477528
678,72,8985,0.468379568563
677,72,8986,0.230320713476
676,72,10398,0.243418605071
703,73,1003,0.0814403670936
702,73,1674,0.218162317397
701,73,1708,0.161437636691
700,73,2135,0.227732413939
699,73,2611,0.129353655799
698,73,2704,0.327003663552
697,73,3200,0.128129703876
696,73,3215,0.150771237769
695,73,4628,0.195071941887
694,73,5813,0.170544841572
693,73,6228,0.141838037579
692,73,7381,0.123097344543
691,73,7412,0.193365921353
690,73,7419,0.114558635236
689,73,9165,0.196257359978
688,73,9693,0.149010539375
687,73,9838,0.63040471852
686,73,9950,0.167502359581
685,73,10516,0.12493006888
684,73,10556,0.224312595712
706,74,1117,0.58660425977
705,74,7446,0.596254379016
704,74,8830,0.548065833567
710,75,1865,0.317749102921
709,75,1879,0.58043597423
708,75,1905,0.567088534895
707,75,8306,0.490448958611
718,76,1708,0.343297145626
717,76,2125,0.371806587
